SEDE_CODICE,Vi_sono_parcheggi_per_disabili,SEDE_ACCESSIBILE_AI_DISABILI,MUSEO_CODICE,MUSEO_DENOMINAZIONE,MUSEO_TIPOLOGIA,SEDE_DENOMINAZIONE,SEDE_COMUNE,SEDE_PROVINCIA,SEDE_FRAZIONE,SEDE_CAP,SEDE_INDIRIZZO,SEDE_TELEFONO,SEDE_FAX,SEDE_MAIL,SEDE_SITO,SEDE_APERTURA_STATO,SEDE_CHIUSURA_MOTIVO,SEDE_APERTURA_NOTE,SEDE_DESCR_ORARIO_APERTURA,SEDE_ORARI_APERTURA_NOTA,MUSEO_INGRESSO,MUSEO_GIORNO_INGRESSO_GRATUITO,vi_sono_parcheggi_in_zona,ck_biblioteca,ck_aula_attivita_didattiche_ed,ck_sale_studio,ck_archivio,ck_fototeca,ck_sala_conferenze,ck_sala_proiezioni_audio_video,ST_NOTE_3_2_2,ck_biglietteria,ck_guardaroba,ck_area_per_accoglienza,ck_book_shop,ck_caffetteria_ristorante,ck_area_x_prima_infanzia,ST_NOTE_3_2_3,ck_laboratorio_fotografico,ck_laboratorio_di_restauro,ck_laboratorio_preparazione,ck_laboratorio_per_analisi,ST_NOTE_3_2_4,presenza_servizi_igienici,ck_pannelli_sk_mobili,ck_guide_brevi_in_italiano,ck_guide_brevi_in_piu_lingue,ck_catalogo_del_museo,ck_servizio_di_audioguide,ck_proiezione_audiovisivi,ck_sussidi_inform_multimediali,ck_servizio_di_visite_guidate,ck_servizi_speciali_disabili,RA_NOTE_7_9_3,RICONOSCIMENTO_STATO
2227,SI,TOTALMENTE,2184,MUSEO REGIONALE DELLA PSICHIATRIA,COMPOSITO,MUSEO REGIONALE DELLA PSICHIATRIA - PADIGLIONE 7 EX O.P. PAOLO PINI,MILANO,MILANO,,20161,"Via Ippocrate, 45",02 66215325 - 0264445392,02 64445392,patrizia.caccia@ospedaleniguarda.it,www.mapp-arca.it,APERTA,,,"Tutti i giorni feriali dalle 9.00 alle 16.00 sabato dalle 9.00 alle 13.00 (riservato a visite guidate di gruppi su appuntamento)
Domenica: giorno di chiusura",,GRATUITO,,SI,,SI,,,,SI,SI,,,,SI,,SI,,,,,,,,SI,,SI,,SI,,,,SI,,,RICONOSCIUTO
1602,SI,PARZIALMENTE,1501,MUSEO CIVICO DI PALAZZO TE,COMPOSITO,MUSEO CIVICO DI PALAZZO TE,MANTOVA,MANTOVA,,46100,"Viale Te, 13",0376 365886,0376 363883,,"www.comune.mantova.it, www.mumm.mantova.it",APERTA,,,lunedì 13.00-18.00 (chiusura biglietteria alle 17.30); dal martedì alla domenica 9.00-18.00 (chiusura della biglietteria alle 17.30). Estensione degli orari d'apertura in occasione di mostre di grande richiamo.,"I soli giorni di chiusura del Museo sono il 1° gennaio, il 1° maggio e il 25 dicembre.
Apertura straordinaria a richiesta e a pagamento in occasione di mostre importanti.",A PAGAMENTO,DI NORMA UNA DOMENICA IN OCCASIONE DELLA SETTIMANA DELLA CULTURA,SI,SI,SI,SI,SI,SI,SI,SI,,SI,,SI,SI,SI,,,,,,,,SI,SI,SI,SI,SI,SI,SI,SI,SI,,Le guide a stampa sono disponibili al bookshop.,RICONOSCIUTO
2225,SI,TOTALMENTE,2182,MUSEO POPOLI E CULTURE,ETNOGRAFIA E ANTROPOLOGIA,MUSEO POPOLI E CULTURE,MILANO,MILANO,,20149,"Via Mosè Bianchi, 94",02 438201,02 4695193,museo@pimemilano.com,www.pimemilano.com,APERTA,,,"Lunedì-sabato 9.00-12,30/14.00-18.00
Chiuso domenica e festivi
Orario estivo ridotto: giugno-luglio 9-12,30 / 13,30-15",,GRATUITO,,SI,SI,SI,SI,SI,SI,SI,SI,,,SI,SI,,,,,,,,,,SI,SI,SI,SI,SI,,,,SI,,Il Museo è in fase di realizzazione di un servizio di audioguide in italiano e in inglese e di un servizio di proiezioni audiovisive ad integrazione della visita.,RICONOSCIUTO
41,SI,PARZIALMENTE,22,MUSEO CIVICO ARCHEOLOGICO,ARCHEOLOGIA,CIVICO MUSEO ARCHEOLOGICO,BERGAMO,BERGAMO,,24129,"Piazza Cittadella, 9",035 242839,035 3831889,archeomuseo@comune.bg.it,www.museoarcheologicobergamo.it,APERTA,,"Gli orari di apertura sono:
ottobre-marzo: 9-12,30 / 14,30-18
aprile-settembre: martedì-venerdì 9-12,30 / 14,30-18; sabato e domenica 9-19.
giugno-settembre: martedì-venerdì 9-12,30 / 14,30-18; sabato 9-24; domenica 9-19.
Chiuso sempre il lunedì, tranne festivi, e 25 dicembre, 1 gennaio.","OTTOBRE - MARZO
da martedì a domenica: 9.00-12.30/14.30-17.30
chiusura: lunedì, 1 gennaio, 25 dicembre
APRILE - MAGGIO
da martedì a venerdì: 9.00-12.30/14.30-18.00
sabato e domenica: 9.00-19.00
chiusura: lunedì
GIUGNO - SETTEMBRE
da martedì a venerdì: 9.00-12.30/14.30-18.00
sabato: 9.00-24.00
domenica: 9.00-19.00
chiusura: lunedì",,GRATUITO,,SI,SI,SI,SI,SI,SI,SI,,"Il Museo è dotato di archivio e fototeca, ma non di spazi ad essi destinati in modo specifico. La loro consultazione avviene all'interno degli uffici. sala conferenze è in condivisione con il Museo di Scienze Naturali.",,,SI,SI,,,"L'ingresso al Museo è gratuito, dunque non esiste la biglietteria, sostituita da un banco di accoglienza dei visitatori, dove è possibile assumere informazioni, acquistare volumi e cartoline edite dal Museo e dove avviene la registrazione dei visitatori, sia singoli, sia in gruppo.",,,,,"Il Museo non è dotato dei suddetti laboratori, in quanto per gli interventi di restauro, per le analisi e per le riprese fotografiche ci si rivolge a ditte esterne.",SI,SI,SI,SI,,SI,,SI,SI,,"Nel corso del 2006, grazie a una sponsorizzazione del Credito Bergamasco, l'Associazione Amici ha dotato il Museo di audioguide elettroniche computerizzate ed è stato predisposto un percorso ad hoc, ben segnalato sia all'interno delle sale, sia con pieghevoli in distribuzione.
Stiamo predisponendo un percorso per ciechi ed ipovedenti, con l'installazione di punti di analisi di opere lapidee.",RICONOSCIUTO
1122,SI,PARZIALMENTE,941,MUSEO DELLA VALLE,ETNOGRAFIA E ANTROPOLOGIA,MUSEO DELLA VALLE,CAVARGNA,COMO,,22010,"Via alla Chiesa, 12/14","0344- 63162, 031306205",031306205,museodellavalle.cavargna@gmail.com,www.valcavargna.com - www.cmalpilepontine.it,APERTA,,,"Sabato, domenica e festivi dalle 14 alle 19 e, sempre a richiesta, rivolgendosi in loco.",L'apertura a richiesta e le visite con laboratorio didattico sono possibili durante l'intero arco dell'anno.,GRATUITO,,SI,SI,SI,,SI,SI,SI,SI,"Il MdV ha la disponibilità di locali per la Biblioteca, per l'Archivio fotografico e per l'Archivio Documentale, e inoltre di un Salone polifunzionale per conferenze, convegni, proiezioni, attività didattiche, ecc.",,,SI,SI,,,La zona ingresso consente l'accoglienza e il ritrovo per piccoli gruppi.,,SI,SI,,,SI,SI,SI,SI,,,SI,SI,SI,,,RICONOSCIUTO
2228,SI,PARZIALMENTE,2185,MUSEO ASTRONOMICO - ORTO BOTANICO  DI BRERA,SCIENZA E TECNICA,MUSEO ASTRONOMICO DI BRERA,MILANO,MILANO,,20121,"Via Brera, 28",02 503 14680,02 503 14686,infobrera@unimi.it,www.brera.unimi.it,APERTA,,,"Il Museo Astronomico è aperto dal lunedì al venerdì 9.00-16.00.
L'Orto Botanico è aperto dal lunedì al venerdì 9.00 alle ore 12.00; da aprile a giugno anche dalle ore 15.00 alle ore 17.00.
Sabato: 
- fino al 21 Marzo 2011 ore 10-16 
- dal 21 marzo 2011 fino al 15 Maggio 10-17 
- dal 15 Maggio 2011 fino al 21 Settembre 10-18 
- da 21 Settembre 2011 fino al 29 Ottobre 10-17.",Domenica visite su prenotazione: ore 10-13,GRATUITO,,SI,SI,SI,SI,SI,,SI,,,,,,,,,,,,SI,,Il laboratorio per preparazione si riferisce alle attività dell'Orto Botanico.,SI,SI,,,SI,,SI,,SI,,,RICONOSCIUTO
522,SI,NON ACCESSIBILE,322,MUSEO DEL TESORO DEL DUOMO DI VIGEVANO,ARTE,MUSEO DEL TESORO DEL DUOMO,VIGEVANO,PAVIA,,27029,Piazza S.Ambrogio 14,0381 691389,0381 691389,museodeltesoro@libero.it,,APERTA,,,"sabato dalle 14.30 alle 18.30
domenica dalle 9.30 alle 12.30 e dalle 14.30 alle 18.30",apertura fuori orario per gruppi  o studiosi,A PAGAMENTO,DURANTE MANIFESTAZIONI CULTURALI,SI,,SI,,,,SI,SI,,SI,,SI,SI,,,,,,,,,SI,,SI,,,,,,SI,,,RICONOSCIUTO
523,SI,TOTALMENTE,341,"MUSEO CIVICO ""ANTONIO PARAZZI""",COMPOSITO,MUSEO CIVICO 'ANTONIO PARAZZI',VIADANA,MANTOVA,,46019,"Via Manzoni, 2",0375 820928,0375/82854,m.adinolfi@comune.viadana.mn.it,www.comune.viadana.mn.it,APERTA,,I  depositi del Museo sono ispezionabili come da prescrizioni della Soprintendenza sotto sorveglianza degli Ispettori onorari della Soprintendenza Archeologica della Lombardia i quali stanno lavorando contestualmente ad un progetto di riordino dei medesimi.,"Martedi  9,00-12,00 (3 ore)
Giovedi  9,00-12,00 (3 ore)
Venerdi  9,00-12,00 (3 ore)
        15,30-19,00 (3 ore e mezzo)
Sabato   9,00-12,00 (3 ore)
        15,30-19,00 (3 ore e mezzo)
Domenica 9,00-12,00 (3 ore)
        15,50-19,00 (3 ore e mezzo)","A richiesta anche nei giorni/orario chiusura , previa disponibilità del personale operatore, si effettuano visite guidate.",A PAGAMENTO,,SI,SI,SI,SI,SI,SI,SI,SI,Alcuni di questi spazi (biblioteca e laboratorio didattico) sono condivisi nell'ambito del centro  polifunzionale Mu.Vi. (Musei Viadana).,SI,SI,SI,SI,SI,,Questo servizio è in condivisione con la Biblioteca e Ludoteca ospitate presso il Mu.Vi.,SI,,SI,,Il laboratorio di didattica è contestualmente laboratorio ambientale con seprazione delle rispettive attrezzature  e supporti .,SI,SI,SI,SI,SI,,SI,SI,SI,SI,,RICONOSCIUTO
2219,SI,TOTALMENTE,2178,MUSEO DEL GIOCATTOLO E DEL BAMBINO,SPECIALIZZATO,MUSEO DEL GIOCATTOLO E DEL BAMBINO CORMANO (MI),CORMANO,MILANO,,20032,"Via rodari, 3",3401509192,,museodelgiocattolo@tin.it,www.museodelgiocattolo.it,APERTA,,"il museo è aperto tutto l'anno, tranne il mese di agosto e il giorno di Natale","da martedì a venerdì: 9.00-13.00
Lunedì solo su prenotazione

sabato, domenica e festivi: 14.30-18.30

Su prenotazione: apertura in orari serali.","il museo è aperto tutto l'anno tranne ad agosto e il giorno di natale.

Nei mesi di Giugno/Luglio si osserva un orario ridotto definito di anno in anno.",A PAGAMENTO,,SI,SI,SI,SI,SI,,SI,SI,"ludoteca, aula scolastica DeAmicisiana",SI,SI,SI,,,SI,"Il Bookshop e la caffetteria saranno attivati nel corso dell'anno scolastico 2011/2012.
Sono già presenti alcune macchinette distributrici di snack e bevande calde/fredde.",SI,SI,SI,,il museo proevede inoltre numerosi laboratori didattici rivolti al pubblico,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,su prenotazione si svolgono inoltre visite guidate in inglese/francese,RICONOSCIUTO
2218,NO,PARZIALMENTE,2177,PINACOTECA AMBROSIANA,ARTE,PINACOTECA AMBROSIANA,MILANO,MILANO,,20123,Piazza Pio XI°,02 806921,02 80692210,info@ambrosiana.it,www.ambrosiana.it,APERTA,,La Pinacoteca è visitabile dal pubblico dal martedì alla domenica dalle ore 10:00 alle 17:30 - giorno di chiusura lunedì,"da lunedì a domenica dalle 10:00 alle 17:30 (orario continuato)
giorno di chiusura il Lunedì
inoltre la Pinacoteca rimane chiusa nei seguenti giorni dell'anno: 1° gennaio, il giorno di Pasqua, il 1° maggio e il 25 dicembre",,A PAGAMENTO,NESSUNO,NO,SI,,SI,SI,SI,SI,SI,,SI,SI,SI,SI,,,,SI,,,,,SI,SI,SI,SI,SI,,,,SI,,Le visite guidate sono solo su prenotazione e possono essere anche in più lingue.,RICONOSCIUTO
2217,SI,PARZIALMENTE,2175,MUSEO NAZIONALE DELLA SCIENZA E DELLA TECNOLOGIA,SCIENZA E TECNICA,MUSEO NAZIONALE DELLA SCIENZA E DELLA TECNOLOGIA,MILANO,MILANO,,21123,"Via San Vittore, 21",02 485551,02 48010016,museo@museoscienza.org,www.museoscienza.org,APERTA,,alcune sezioni del museo sono temporaneamente chiuse per riallestimento o lavori di restauro,"Martedì-Venerdì 09.30-17.00
Sabato-Domenica 09.30-18.30
Chiuso: Lunedì non festivi, 25 dicembre e 1 gennaio",,A PAGAMENTO,MERCOLEDÌ E SABATO POMERIGGIO PER GLI INSEGNANTI/GIORNATE PROMOZIONALI,SI,SI,SI,,SI,SI,SI,SI,"Sale conferenze: Auditorium (250 pax ca.) - Sala Colonne (300 pax ca.) - Sala del Cenacolo (100 pax ca.) - Sala Conte Biancamano (100 pax ca.)
Laboratori Interattivi: 10 i.Lab tematici",SI,,SI,SI,SI,SI,"La caffetteria/ristorante è temporaneamente chiusa perchè in corso di traferimento. In quest'area troveranno posto anche il bookshop, l'uscita e un entrata secondaria.",,SI,SI,,Laboratorio stampa e allestimento Laboratorio sviluppo exhibit interattivi,SI,SI,SI,SI,,,SI,SI,SI,SI,,RICONOSCIUTO
2703,SI,TOTALMENTE,2547,MUSEO MARTINITT E STELLINE,COMPOSITO,"MUSEO MARTINITT E STELLINE, CORSO MAGENTA 57 MILANO",MILANO,MILANO,,20123,CORSO MAGENTA 57,02.430065.1,02.430065.43,museo@pioalbergotrivulzio.it,www.pioalbergotrivulzio.it,APERTA,,,"DA MARTEDì A SABATO
DALLE 10.00 ALLE 18.00",,GRATUITO,,NO,SI,SI,SI,SI,,SI,SI,La fototeca esiste ma non è aperta al pubblico perché non inventariata.,,SI,SI,SI,,,,,,,,,SI,SI,SI,SI,,,SI,,SI,SI,,RICONOSCIUTO
2216,NO,TOTALMENTE,2174,MUSEO TEATRALE ALLA SCALA,SPECIALIZZATO,MUSEO TEATRALE ALLA SCALA,MILANO,MILANO,,20121,"via Filodrammatici, 2",02-88792163,02-88792090,garavaglia@fondazionelascala.it,www.teatroallascala.org,APERTA,,,"Tutti i giorni, lunedì compreso, dalle 9.00 alle 12 e dalle 13,30 alle 17
L'ultimo ingresso è consentito sino alle ore 17.00",,A PAGAMENTO,,NO,SI,,,,,SI,SI,"La Biblioteca ""Livia Simoni"", aperta al pubblico su appuntamento, è  rimasta in Corso Magenta,71 Palazzo Busca.",SI,,SI,SI,,,,,,,,,SI,SI,SI,SI,SI,,,,SI,,,RICONOSCIUTO
2211,SI,PARZIALMENTE,2169,MUSEO CIVICO,TERRITORIALE,"MUSEO CIVICO ""CARLO VERRI""",BIASSONO,MONZA E DELLA BRIANZA,,20046,Via San Martino (Cascina Cossa),039 2201077,039 2201077,infomuseo@museobiassono.it,www.museobiassono.it,APERTA,,L'orario coincide con le ore di attività del gruppo di gestione per almeno 10 ore settimanali. Viene sempre assicurata l'apertura su appuntamento.,"Venerdì 9.30-12.00 15.00-18.30
Sabato 15.00-19.00

Su richiesta per gruppi o scolaresche, il Museo viene aperto anche in giorni e orari diversi",Apertura solo il sabato,GRATUITO,,SI,SI,,SI,SI,SI,SI,SI,"La fototeca è in archivio ed è consultabile su richesta. 
Sala conferenze e sala proiezioni sono ricavate in una sala del Museo. Nel caso sia impegnata per mostre temporanee viene utilizza la Sala Civica (più capiente) presso l'adiacente sede comunale.",,,,,,,,,SI,,,,SI,SI,SI,,,,,,SI,,,RICONOSCIUTO
2209,SI,TOTALMENTE,2168,MUSEO CIVICO IL NINFEO DI LAINATE,ARTE,MUSEO CIVICO IL NINFEO DI LAINATE - VILLA BORROMEO  VISCONTI LITTA,LAINATE,MILANO,,20020,"Largo Vittorio Veneto, 12",02 93598266,02 93571321,cultura@lainate.inet.it,www.comune.lainate.mi.it,APERTA,,,"Ninfeo: da maggio a ottobre la domenica dalle 15.00 alle 18.00 il sabato dalle 21.00 alle 22.15.
Spazi Villa Visconti Borromeo Litta:
da lunedì a venerdì dalle 9.00 alle 12.15
lunedi' e giovedì dalle 16.30 alle 18.00",,A PAGAMENTO,,SI,SI,,SI,SI,,SI,SI,,SI,,,SI,,,,,,,,non ci sono laboratori,SI,SI,SI,SI,,,,,SI,,,RICONOSCIUTO
2215,SI,TOTALMENTE,2173,CIVICA GALLERIA D'ARTE CONTEMPORANEA,ARTE,CIVICA GALLERIA D'ARTE CONTEMPORANEA,LISSONE,MONZA E DELLA BRIANZA,,20035,"Viale Padania, 6",039 2145174,039 461523,museo@comune.lissone.mi.it,www.museolissone.it,APERTA,,,"martedì, mercoledì e venerdì 15.00-19.00; giovedì 15.00-23.00; sabato e domenica 10.00-12.00/15.00-19.00.",Il museo è aperto anche al mattino per le attività didattiche rivolte alle scuole.,GRATUITO,L'INGRESSO È SEMPRE LIBERO PER LA VISTA ALLE COLLEZIONI PERMANENTI.,SI,SI,SI,,,,SI,SI,,SI,SI,SI,SI,,,,,,,,,SI,SI,,,SI,,SI,SI,SI,,,RICONOSCIUTO
